Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Group,Period,Category
Hydrogen,H,1,1.008,0.00008988,-259.16,-252.87,Gas,1,1,non metal
Helium,He,2,4.002602,0.0001785,-272.2,-268.93,Gas,18,1,noble gas
Lithium,Li,3,6.94,0.534,180.54,1342,Solid,1,2,alkali metal
Beryllium,Be,4,9.0122,1.85,1287,2471,Solid,2,2,alkaline earth metal
Boron,B,5,10.81,2.34,2075,4000,Solid,13,2,metalloid
Carbon,C,6,12.011,2.267,3550,4827,Solid,14,2,non metal
Nitrogen,N,7,14.007,0.0012506,-210.1,-195.79,Gas,15,2,non metal
Oxygen,O,8,15.999,0.001429,-218.79,-182.96,Gas,16,2,non metal
Fluorine,F,9,18.998,0.001696,-219.67,-188.11,Gas,17,2,halogen
Neon,Ne,10,20.180,0.0008999,-248.59,-246.08,Gas,18,2,noble gas
Sodium,Na,11,22.98976928,0.971,97.72,883,Solid,1,3,alkali metal
Magnesium,Mg,12,24.305,1.738,650,1090,Solid,2,3,alkaline earth metal
Aluminum,Al,13,26.9815385,2.698,660.32,2519,Solid,13,3,post-transition metal
Silicon,Si,14,28.085,2.3296,1414,3265,Solid,14,3,metalloid
Phosphorus,P,15,30.973762,1.82,44.15,280.5,Solid,15,3,non metal
Sulfur,S,16,32.06,2.067,115.21,444.6,Solid,16,3,non metal
Chlorine,Cl,17,35.45,0.003214,-101.5,-34.04,Gas,17,3,halogen
Argon,Ar,18,39.948,0.001784,-189.34,-185.85,Gas,18,3,noble gas
Potassium,K,19,39.0983,0.862,63.5,759,Solid,1,4,alkali metal
Calcium,Ca,20,40.078,1.54,842,1484,Solid,2,4,alkaline earth metal
Scandium,Sc,21,44.955908,2.989,1541,2836,Solid,3,4,transition metal
Titanium,Ti,22,47.867,4.54,1668,3287,Solid,4,4,transition metal
Vanadium,V,23,50.9415,6.11,1910,3407,Solid,5,4,transition metal
Chromium,Cr,24,51.9961,7.15,1907,2671,Solid,6,4,transition metal
Manganese,Mn,25,54.938044,7.44,1246,2061,Solid,7,4,transition metal
Iron,Fe,26,55.845,7.874,1538,2862,Solid,8,4,transition metal
Cobalt,Co,27,58.933194,8.86,1495,2927,Solid,9,4,transition metal
